Solidity,Solidity
Vyper,Vyper
Go (Golang),Golang
Huff Language,Huff Language
Move,Move
Cairo,Cairo
HTML,HTML
Structured Query Language (SQL),SQL
Rholang,Rholang
Assembly Language,Assembly Language
Bash/Shell,Bash/Shell
C,C
C++,C++
C#,C#
COBOL,COBOL
Erlang,Erlang
Fortran,Fortran
Go,Go
Haskell,Haskell
Java,Java
JavaScript,JavaScript
Kotlin,Kotlin
LISP,LISP
MATLAB,MATLAB
Objective-C,Objective-C
Perl,Perl
PHP,PHP
Python,Python
R,R
Ruby,Ruby
Rust,Rust
Scala,Scala
Swift,Swift
TypeScript,TypeScript
Array,Array
Linked List,Linked List
Stack,Stack
Queue,Queue
Tree,Tree
Binary Tree,Binary Tree
Binary Search Tree,Binary Search Tree
Heap,Heap
Hash Table (or Hash Map),Hash Table
Graph,Graph
Trie (Prefix Tree),Trie
Matrix,Matrix
Search Algorithms,Search Algorithms
Sort Algorithms,Sort Algorithms
Computational Algorithms,Computational Algorithms
Collection Algorithms,Collection Algorithms
Graph Algorithms,Graph Algorithms
Dynamic Programming Algorithms,Dynamic Programming Algorithms
Divide and Conquer Algorithms,Divide and Conquer Algorithms
Greedy Algorithms,Greedy Algorithms
Randomized Algorithms,Randomized Algorithms
Backtracking Algorithms,Backtracking Algorithms
Waterfall Model,Waterfall Model
Agile Software Development,Agile Software Development
Scrum,Scrum
Extreme Programming (XP),Extreme Programming
Lean Software Development,Lean Software Development
Kanban,Kanban
Rapid Application Development (RAD),Rapid Application Development
Spiral Model,Spiral Model
Feature Driven Development (FDD),Feature Driven Development
DevOps,DevOps
MySQL,MySQL
PostgreSQL,PostgreSQL
Oracle Database,Oracle Database
Microsoft SQL Server,Microsoft SQL Server
SQLite,SQLite
MongoDB,MongoDB
Apache Cassandra,Apache Cassandra
Redis,Redis
CouchDB,CouchDB
DynamoDB,DynamoDB
Graph Databases,Graph Databases
Neo4j,Neo4j
Amazon Neptune,Amazon Neptune
Microsoft Windows,Microsoft Windows
macOS,macOS
